metric_type,key,value,note,as_of
BREADTH,advances,1724,,20260803
BREADTH,declines,593,,20260803
BREADTH,unchanged,89,,20260803
BREADTH,ad_ratio,2.91,,20260803
BREADTH,up_down_volume_ratio,3.23,,20260803
BREADTH,turnover_cr,120776.0,close x qty approximation,20260803
BREADTH,delivery_pct,,N/A -- delivery column not in bhavcopy cache schema,20260803
BREADTH,near_52w_high,20,within 0.5% of 52w high,20260803
BREADTH,near_52w_low,4,within 0.5% of 52w low,20260803
INDEX_NIFTY,last,24366.0,,20260803
INDEX_NIFTY,trend,SIDEWAYS,,20260803
INDEX_NIFTY,rsi_14,52.2,,20260803
INDEX_NIFTY,macd,BEARISH_CROSS,,20260803
INDEX_NIFTY,dma_20,24323.3,,20260803
INDEX_NIFTY,dma_50,24084.1,,20260803
INDEX_NIFTY,dma_200,24735.7,,20260803
INDEX_NIFTY,support,23606.3,20d swing low,20260803
INDEX_NIFTY,resistance,24774.3,20d swing high,20260803
INDEX_BANKNIFTY,last,57491.1,,20260803
INDEX_BANKNIFTY,trend,SIDEWAYS,,20260803
INDEX_BANKNIFTY,rsi_14,50.0,,20260803
INDEX_BANKNIFTY,macd,BEARISH_CROSS,,20260803
INDEX_BANKNIFTY,dma_20,57475.2,,20260803
INDEX_BANKNIFTY,dma_50,57335.8,,20260803
INDEX_BANKNIFTY,dma_200,57471.8,,20260803
INDEX_BANKNIFTY,support,56023.6,20d swing low,20260803
INDEX_BANKNIFTY,resistance,58247.9,20d swing high,20260803
