symbol,sector,close_now,as_of_date,price_score,ath_proximity_score,sector_flow_score,deal_score,corporate_score,base_score,market_regime,regime_multiplier,bull_run_score,label,trend_signal,driving_participant,ret_30d,ret_90d,ret_365d,vol_ratio
RBA,HOSPITALITY,99.59,2026-08-17,90.96,93.0,39.46,95.57,50.0,75.85,NEUTRAL,0.9,68.26,BULL_RUN,STRONG_UPTREND,MIXED,45.05,47.02,28.07,0.294
NEULANDLAB,PHARMA,23661.0,2026-08-17,94.03,98.48,34.05,96.4,38.89,75.13,NEUTRAL,0.9,67.62,BULL_RUN,STRONG_UPTREND,RETAIL,26.19,42.62,79.64,0.924
PAYTM,RETAIL,1580.2,2026-08-17,86.89,90.66,39.26,99.45,50.0,75.1,NEUTRAL,0.9,67.59,BULL_RUN,STRONG_UPTREND,RETAIL,16.1,39.69,26.1,0.46
IRISDOREME,TEXTILES,58.3,2026-08-17,86.22,97.12,38.69,94.18,50.0,75.05,NEUTRAL,0.9,67.54,BULL_RUN,STRONG_UPTREND,RETAIL,24.52,63.67,,1.106
ROLEXRINGS,AUTO,179.46,2026-08-17,67.21,97.42,37.52,94.74,77.78,74.41,NEUTRAL,0.9,66.97,BULL_RUN,STRONG_UPTREND,RETAIL,15.4,21.03,-86.96,0.365
THYROCARE,HEALTHCARE,618.6,2026-08-17,70.23,86.88,40.84,99.17,66.67,72.94,NEUTRAL,0.9,65.65,BULL_RUN,STRONG_UPTREND,RETAIL,17.33,33.85,-51.17,0.195
SUDEEPPHRM,PHARMA,1101.55,2026-08-17,83.07,90.16,34.05,98.61,38.89,71.17,NEUTRAL,0.9,64.05,BULL_RUN,INSUFFICIENT_DATA,RETAIL,24.7,69.74,,0.217
CREDITACC,FINANCIAL_SERVICES,1538.6,2026-08-17,68.45,88.32,38.17,97.78,50.0,69.47,NEUTRAL,0.9,62.52,BULL_RUN,UPTREND,RETAIL,2.91,16.99,12.88,0.121
INDGN,HEALTHCARE,561.75,2026-08-17,71.11,88.26,40.84,100.0,38.89,69.43,NEUTRAL,0.9,62.49,BULL_RUN,STRONG_UPTREND,RETAIL,9.94,8.85,-0.04,0.266
PVP,REALTY,37.01,2026-08-17,94.92,95.56,40.96,50.0,50.0,68.53,NEUTRAL,0.9,61.68,BULL_RUN,INSUFFICIENT_DATA,DII,26.53,36.82,76.83,1.797
